,ticker,permno
508,MWD,69032.0
509,MWV,21186.0
510,MXB,92402.0
511,MXIM,11896.0
512,MYL,69550.0
513,N,12546.0
514,NBL,61815.0
515,NCC,56232.0
516,NCLH,13760.0
517,NCO,28118.0
518,NCR,84372.0
519,NDAQ,90601.0
520,NDCO,90537.0
521,NEE,24205.0
522,NEM,21207.0
523,NFB,58094.0
524,NFLX,89393.0
525,NFX,79915.0
526,NGH,76597.0
527,NGVT,16044.0
528,NHLI,12062.0
529,NI,38762.0
530,NIKE,57665.0
531,NKTR,80539.0
532,NLOK,75607.0
533,NLSN,12542.0
534,NLV,77644.0
535,NME,52337.0
536,NMK,24184.0
537,NOC,24766.0
538,NOV,84032.0
539,NOVL,90609.0
540,NSC,64311.0
541,NTAP,82598.0
542,NTRS,58246.0
543,NU,44206.0
544,NUE,34817.0
545,NVDA,86580.0
546,NVT,17676.0
547,NWL,60986.0
548,NWSA,13963.0
549,NXTL,77284.0
550,NYT,47466.0
551,NYX,91143.0
552,O,81045.0
553,OAT,24539.0
554,OCF,24811.0
555,ODEP,75573.0
556,ODFL,77037.0
557,OEC,23026.0
558,OKE,25232.0
559,OKEN,59345.0
560,OMC,30681.0
561,OMX,42024.0
562,ONE,65138.0
563,ORCL,10104.0
564,ORLY,79103.0
565,OTIS,19286.0
566,OXY,34833.0
567,P,13928.0
568,PAYX,61621.0
569,PBCT,12073.0
570,PBG,86756.0
571,PBI,24459.0
572,PBY,35238.0
573,PCAR,60506.0
574,PCCW,87055.0
575,PCG,13688.0
576,PCL,75592.0
577,PCLN,86783.0
578,PCS,86414.0
579,PCST,63830.0
580,PD,17806.0
581,PE,21776.0
582,PEAK,67598.0
583,PEB,27713.0
584,PEG,23712.0
585,PEP,13856.0
586,PETM,79411.0
587,PFE,21936.0
588,PFG,89195.0
589,PFI,49744.0
590,PG,18163.0
591,PGL,13821.0
592,PGR,64390.0
593,PH,41355.0
594,PHA,18382.0
595,PHM,54148.0
596,PKG,87541.0
597,PKI,42200.0
598,PLD,80406.0
599,PLL,35051.0
600,PLMO,87800.0
601,PM,92602.0
602,PNC,60442.0
603,POM,23501.0
604,PPG,22509.0
605,PPL,22517.0
606,PRD,26438.0
607,PRGO,77182.0
608,PRU,89258.0
609,PSFT,78083.0
610,PSVB,10562.0
611,PSX,13356.0
612,PTC,75912.0
613,PTRAS,64451.0
614,PTV,87292.0
615,PVH,13936.0
616,PWER,85516.0
617,PWJ,54463.0
618,PWR,85792.0
619,PXD,75241.0
620,QCOM,77178.0
621,QCP,16346.0
622,QEP,93422.0
623,QLGC,80266.0
624,QTRN,80470.0
625,QWST,85032.0
626,RAD,46922.0
627,RAI,86946.0
628,RAL,28353.0
629,RBK,91380.0
630,RCL,79145.0
631,RD,25267.0
632,RDC,45495.0
633,RDR,27633.0
634,RE,82303.0
635,REG,79782.0
636,REGN,76614.0
637,RESM,81736.0
638,REZI,18142.0
639,RF,35044.0
640,RFMD,85035.0
641,RHAT,87184.0
642,RIG,79237.0
643,RJF,69649.0
644,RL,85072.0
645,RLM,18921.0
646,RML,47490.0
647,ROH,23990.0
648,ROL,36003.0
649,ROPR,77338.0
650,ROST,91556.0
651,RSG,86228.0
652,RSH,15560.0
653,SAFC,59440.0
654,SAI,91547.0
655,SANM,79108.0
656,SAPE,83413.0
657,SBAC,86996.0
658,SBC,66093.0
659,SBUX,77702.0
660,SCG,23085.0
661,SCHW,75186.0
662,SD,14541.0
663,SEBL,83693.0
664,SEE,85926.0
665,SEQ,64653.0
666,SFA,45671.0
667,SGAT,69607.0
668,SGIC,10791.0
669,SGP,25013.0
670,SHW,36468.0
671,SIAL,70536.0
672,SII,45794.0
673,SITC,78927.0
674,SIVB,11786.0
675,SJM,42585.0
676,SLB,14277.0
677,SLE,22840.0
678,SLMA,66325.0
679,SLTN,75857.0
680,SMBL,73940.0
681,SNDK,82618.0
682,SNPS,77357.0
683,SNV,20053.0
684,SO,18411.0
685,SOAL,58683.0
686,SPG,80100.0
687,SPGI,17478.0
688,SPK,59459.0
689,SPLS,75489.0
690,SRE,86136.0
691,SSP,84176.0
692,STI,68144.0
693,STJ,68591.0
694,STT,72726.0
695,STX,89641.0
696,SUN,14656.0
697,SUNE,81776.0
698,SUNW,10078.0
699,SV,88313.0
700,SVU,44951.0
701,SWK,43350.0
702,SWKS,45911.0
703,SWY,76149.0
704,SXCL,10353.0
705,SYF,14776.0
706,SYK,73139.0
707,SYY,52038.0
708,SZA,83421.0
709,T,10401.0
710,TDC,92293.0
711,TDG,91152.0
712,TDY,87445.0
713,TE,37161.0
714,TEG,25099.0
715,TEK,40061.0
716,TER,51369.0
717,TERX,58318.0
718,TFCF,90442.0
719,TFX,44329.0
720,TIE,83699.0
721,TIF,75100.0
722,TIN,66114.0
723,TKR,14795.0
724,TLAB,75257.0
725,TMK,62308.0
726,TMO,62092.0
727,TMUS,91937.0
728,TNB,38578.0
729,TOSC,61663.0
730,TOY,61065.0
731,TROW,10138.0
732,TRW,18681.0
733,TSCO,80286.0
734,TSG,84036.0
735,TSLA,93436.0
736,TSN,77730.0
737,TSS,76639.0
738,TTWO,84761.0
739,TUP,83462.0
740,TWC,91883.0
741,TWTR,14295.0
742,TWX,77418.0
743,TX,14736.0
744,TXN,15579.0
745,TXT,23579.0
746,TXU,24563.0
747,TYC,45356.0
748,U,28847.0
749,UA,15980.0
750,UARM,90979.0
751,UAUA,91103.0
752,UBO,15077.0
753,UDR,59300.0
754,UEP,24985.0
755,UHS,79637.0
756,UJB,51588.0
757,ULTA,92322.0
758,UN,28310.0
759,UNIH,92655.0
760,UNIP,88031.0
761,UNM,71175.0
762,UNP,48725.0
763,UNPH,79879.0
764,UPCM,78263.0
765,UPR,82308.0
766,UPS,87447.0
767,URBN,79881.0
768,URI,85663.0
769,USB,66157.0
770,USW,66122.0
771,UTX,17830.0
772,VAR,27043.0
773,VC,88319.0
774,VCOR,75819.0
775,VFC,43553.0
776,VIAB,91063.0
777,VMC,15202.0
778,VNO,28388.0
779,VRDX,80515.0
780,VRSK,93089.0
781,VRSN,85753.0
782,VRTS,80055.0
783,VSM,16279.0
784,VTRS,20057.0
785,VTSS,77173.0
786,VZ,65875.0
787,WAMU,81593.0
788,WAT,82651.0
789,WATS,78916.0
790,WBA,19502.0
791,WDC,66384.0
792,WEN,63060.0
793,WFC,38703.0
794,WFMI,77281.0
795,WFT,32791.0
796,WHR,25419.0
797,WIN,24803.0
798,WINEA,69796.0
799,WLA,24678.0
800,WLTW,89017.0
801,WM,11955.0
802,WMB,38156.0
803,WMT,55976.0
804,WMTT,82959.0
805,WPH,58819.0
806,WPO,53225.0
807,WPX,13141.0
808,WRD,47175.0
809,WST,62498.0
810,WTHG,83601.0
811,WWY,15472.0
812,WY,39917.0
813,WYE,15667.0
814,WYND,91392.0
815,WYNN,89533.0
816,X,76644.0
817,XEC,89509.0
818,XEL,23931.0
819,XL,86314.0
820,XLNX,76201.0
821,XON,11850.0
822,XRAY,11600.0
823,XRX,27983.0
824,XTO,79212.0
825,XYL,13035.0
826,YHOO,83435.0
827,YNR,86041.0
828,YUM,85348.0
829,YUMC,16343.0
830,ZBH,89070.0
831,ZBRA,76795.0
832,ZION,84129.0
833,ZTS,13788.0
834,ZY,40539.0
